²;N;Operator;Vernacular;TreeID;SampleID;ID TRY;ScientificName;Family;genus;species;RDMC ;RootAverageLenght ;Rootdryweight;Rootfreshweight;RSL;WD;BarkTh;DBH;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD
406;54;Vincyane;Gaouo;A;1;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;292;0,48;NA;NA;0,31;NA;3,2;0,04;NA;2,14;901;NA;NA;3;2;59,2
407;54;Vincyane;Gaouo;A;2;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;743;1,44;NA;NA;0,39;NA;1,7;0,04;NA;0,67;327;NA;NA;3;2;58,2
408;54;Vincyane;Gaouo;A;3;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;369;0,77;NA;NA;0,38;NA;3;0,01;NA;0,85;349;NA;NA;3;2;59,4
409;54;Vincyane;Gaouo;B;1;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;204;0,39;NA;NA;0,43;NA;1,7;0,02;NA;1,54;812;NA;NA;3;2;53,8
410;54;Vincyane;Gaouo;B;2;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;124;0,4;NA;NA;0,35;NA;1,8;0,04;NA;0,52;252;NA;NA;3;2;48,6
411;54;Vincyane;Gaouo;B;3;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;167;0,27;NA;NA;0,41;NA;1,5;0,05;NA;1,78;926;NA;NA;3;2;51,8
412;54;Vincyane;Gaouo;C;1;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;661;1,24;NA;NA;0,55;NA;2,4;0,05;NA;1,91;808;NA;NA;3;2;55
413;54;Vincyane;Gaouo;C;2;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;451;0,92;NA;NA;0,46;NA;2,5;0,05;NA;1,82;781;NA;NA;3;2;60,9
414;54;Vincyane;Gaouo;C;3;NA;NA;NA;Pseudocinchona;pachyceras;NA;NA;734;1,49;NA;NA;0,56;NA;2,8;0,05;NA;1,65;674;NA;NA;3;2;60,9
415;53;Vincyane;Dounbourou;A;1;NA;NA;NA;Ficus;mucuso;NA;NA;203;0,33;NA;NA;0,67;NA;2,9;0,04;NA;3,79;1198;NA;NA;3;2;53,2
416;53;Vincyane;Dounbourou;A;2;NA;NA;NA;Ficus;mucuso;NA;NA;455;0,9;NA;NA;0,85;NA;2,2;0,04;NA;1,76;442;NA;NA;3;2;47,7
417;53;Vincyane;Dounbourou;A;3;NA;NA;NA;Ficus;mucuso;NA;NA;663;1,43;NA;NA;0,93;NA;2,4;0,03;NA;1,87;533;NA;NA;3;2;42,2
418;53;Vincyane;Dounbourou;B;1;NA;NA;NA;Ficus;mucuso;NA;NA;460;1,05;NA;NA;1;NA;2,5;0,06;NA;2,02;593;NA;NA;3;2;51,9
419;53;Vincyane;Dounbourou;B;2;NA;NA;NA;Ficus;mucuso;NA;NA;168;0,29;NA;NA;0,99;NA;2,3;0,06;NA;1,37;348;NA;NA;3;2;45,5
420;53;Vincyane;Dounbourou;B;3;NA;NA;NA;Ficus;mucuso;NA;NA;172;0,29;NA;NA;0,66;NA;3,1;0,06;NA;3,27;1122;NA;NA;3;2;53
421;53;Vincyane;Dounbourou;C;1;NA;NA;NA;Ficus;mucuso;NA;NA;781;2,38;NA;NA;0,61;NA;2,4;0,05;NA;3,1;840;NA;NA;3;2;48,4
422;53;Vincyane;Dounbourou;C;2;NA;NA;NA;Ficus;mucuso;NA;NA;942;2,77;NA;NA;0,67;NA;1,9;0,06;NA;2,96;841;NA;NA;3;2;45,4
423;53;Vincyane;Dounbourou;C;3;NA;NA;NA;Ficus;mucuso;NA;NA;289;0,8;NA;NA;0,57;NA;2,2;0,06;NA;3,54;1081;NA;NA;3;2;46,8
424;45;Vincyane;Oba;A;1;NA;NA;NA;Bombax;buonopozense;NA;NA;104;0,5;;;0,41;;14;0,02;;4,71;1481;;;3;1;46,7
