"";"IDtree";"former_id";"dbh";"Essence_ID";"NomLatin";"NomVernaculaire"
"25";"1_2_24_10";286;500;"BA";"Celtis mildbraedii";"Ba"
"26";"1_2_24_20";860;137;"FRO";"Ceiba pentandra";"Fromager"
"27";"1_2_24_6";204;198;"BA";"Celtis mildbraedii";"Ba"
"28";"1_2_6_11";168;272;"BA";"Celtis mildbraedii";"Ba"
"29";"1_2_6_12";161;500;"AZD";"Afzelia bella";"Azodau"
"30";"1_2_6_3";218;600;"BA";"Celtis mildbraedii";"Ba"
"31";"1_2_6_9";164;550;"AKT";"Gambeya africana";"Akatio"
"32";"1_3_11_6";700;232;"TIA";"Entandrophragma angolense";"Tiama"
"33";"1_3_12_6";166;189;"BA";"Celtis mildbraedii";"Ba"
"34";"1_3_15_8";802;210;"FRO";"Ceiba pentandra";"Fromager"
"35";"1_3_20_2";858;165;"BET";"Mansonia altissima";"Bete"
"36";"1_3_20_21";650;386;"DIF";"Morus mesozygia";"Difou"
"37";"1_3_20_26";200;478;"EHO";"Ricinodendron africanum";"Eho"
"38";"1_3_20_3";859;204;"ARI";"Trichilia tessmannii";"Aribanda"
"39";"1_3_20_4";860;485;"FRO";"Ceiba pentandra";"Fromager"
"40";"1_3_20_6";861;227;"LOL";"Lannea welwitschii";"Loloti"
"41";"1_3_5_2";130;130;"KOB";"Nesogordonia papaverifera";"Kotibe"
"42";"1_3_6_5";900;337;"SAM";"Triplochiton scleroxylon";"Samba"
"43";"1_4_1_4";800;271;"LOL";"Lannea welwitschii";"Loloti"
"44";"1_4_10_11";950;231;"ACA";"Khaya ivorensis , anthotheca";"Acajou blanc"
"45";"1_4_10_13";951;205;"ABO";"Entandrophragma cylindricum";"Sapelli"
"46";"1_4_11_2";750;500;"SAM";"Triplochiton scleroxylon";"Samba"
"47";"1_4_12_6";166;189;"OBA";"Bombax buonopozense";"Oba (Kapokier)"
"48";"1_4_14_6";859;159;"ILO";"Pycnanthus angolensis";"Ilomba"
"49";"1_4_15_5";216;500;"AKT";"Gambeya africana";"Akatio"
"50";"1_4_15_8";701;600;"ACA";"Khaya ivorensis , anthotheca";"Acajou blanc"
"51";"1_4_16_14";262;300;"DIF";"Morus mesozygia";"Difou"
"52";"1_4_16_16";852;203;"EHO";"Ricinodendron africanum";"Eho"
"53";"1_4_17_11";250;210;"LOT";"Sterculia rhinopetala";"Lotofa"
"54";"1_4_18_16";905;215;"SAM";"Triplochiton scleroxylon";"Samba"
"55";"1_4_18_4";503;441;"KEK";"Holoptelea grandis";"Kekele"
"56";"1_4_20_21";650;386;"BA";"Celtis mildbraedii";"Ba"
"57";"1_4_20_26";200;478;"LOT";"Sterculia rhinopetala";"Lotofa"
"58";"1_4_23_2";752;472;"EHO";"Ricinodendron africanum";"Eho"
"59";"1_4_23_4";858;265;"LON";"Celtis adolphi-frederici";"Lohonfé"
"60";"1_4_23_6";269;167;"SAM";"Triplochiton scleroxylon";"Samba"
"61";"1_4_24_17";309;700;"SAM";"Triplochiton scleroxylon";"Samba"
"62";"1_4_25_11";317;502;"AZD";"Afzelia bella";"Azodau"
"63";"1_4_6_5";900;337;"AKO";"Antiaris africana";"Ako"
"64";"10_1_18_4";223;422;"BA";"Celtis mildbraedii";"Ba"
"65";"10_1_18_4";223;422;"BA";"Celtis mildbraedii";"Ba"
"66";"10_1_3_3";650;304;"EHO";"Ricinodendron africanum";"Eho"
"67";"10_1_3_3";650;304;"EHO";"Ricinodendron africanum";"Eho"
"68";"10_3_12_2";851;167;"AKO";"Antiaris africana";"Ako"
"69";"10_3_15_1";202;1050;"FRO";"Ceiba pentandra";"Fromager"
"70";"10_3_17_7";233;235;"BA";"Celtis mildbraedii";"Ba"
"71";"10_3_18_1";801;242;"KEK";"Holoptelea grandis";"Kekele"
"72";"10_3_18_7";863;263;"KEK";"Holoptelea grandis";"Kekele"
"73";"10_3_2_6";750;236;"KOB";"Nesogordonia papaverifera";"Kotibe"
"74";"10_3_22_2";216;161;"BA";"Celtis mildbraedii";"Ba"
"75";"10_3_7_4";858;250;"LOL";"Lannea welwitschii";"Loloti"
"76";"10_3_8_5";501;292;"FRO";"Ceiba pentandra";"Fromager"
"77";"10_4_10_3";136;510;"BA";"Celtis mildbraedii";"Ba"
"78";"10_4_2_2";852;172;"FRO";"Ceiba pentandra";"Fromager"
"79";"10_4_2_4";702;570;"FRO";"Ceiba pentandra";"Fromager"
"80";"10_4_22_10";224;600;"BET";"Mansonia altissima";"Bete"
"81";"10_4_23_3";602;273;"AMZ";"Guibourtia ehie";"Amazakoué"
"82";"10_4_24_4";133;320;"LON";"Celtis adolphi-frederici";"Lohonfé"
"83";"10_4_9_3";143;421;"LOT";"Sterculia rhinopetala";"Lotofa"
