Vernaculier;ID TRY;ScientificName;Family;Genus;Species;treeID;sampleID;RDMC ;RootAverageLenght ;RSL;WD;BarkTh;DBH;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness
Pepe Angrouafou;;Ficus variifolia;Moraceae;Ficus;variifolia;B;3;300;2,129;0,007;0.4055347;0,74;301;3,1;0,46;136,01;2,88;1497,5;520,33;0,26139;3;2
Pepe Angrouafou;;Ficus variifolia;Moraceae;Ficus;variifolia;C;1;250;2,504;0,01;0.4055347;0,68;256;2,6;0,45;62,72;1,99;815;410,58;0,152748;3;2
Pepe Angrouafou;;Ficus variifolia;Moraceae;Ficus;variifolia;C;2;267,857;2,393;0,009;0.4055347;0,66;256;2,2;0,36;152,87;4,86;1720;354,27;0,431499;3;2
Pepe Angrouafou;;Ficus variifolia;Moraceae;Ficus;variifolia;C;3;264,706;2,029;0,008;0.4055347;0,79;256;;0,5;27,57;0,8;235;295,6;0,093265;3;2
Pepe Angrouafou;;Ficus variifolia;Moraceae;Ficus;variifolia;A;1;203,39;2,052;0,01;0.4055347;0,65;280;2,8;0,43;83,27;2,09;852;408,05;0,20407;3;2
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;A;2;237,288;2,912;0,012;0.3345000;0,75;298;4,2;0,29;74,94;1,3;762,5;586,94;0,125774;2;1
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;A;3;452,899;4,017;0,009;0.3345000;0,81;298;3;0,28;52,58;0,98;666;676,21;0,092805;2;1
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;B;1;438,452;1,562;0,004;0.3345000;0,83;569;5,1;0,27;118,52;1,88;1165;620,34;0,19106;2;1
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;B;2;450,306;3,471;0,008;0.3345000;0,8;569;4,6;0,29;118,01;1,64;1050;639,02;0,184677;2;1
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;B;3;441,94;2,43;0,005;0.3345000;0,91;569;5,9;0,28;220,57;2,87;2050;715,53;0,308253;2;1
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;C;1;410,919;5,186;0,013;0.3345000;0,77;236;4,7;0,27;125,72;1,47;877,5;595,38;0,221277;2;1
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;C;2;406,805;1,731;0,004;0.3345000;0,91;236;4,6;0,29;119,69;1,28;822,5;640,75;0,177843;2;1
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;C;3;418,288;2,212;0,005;0.3345000;0,83;236;5,2;0,25;139,13;1,62;907,5;561,23;0,256103;2;1
Samba;;Triplochiton scleroxylon;Sterculiaceae;Triplochiton ;scleroxylon;A;1;368,916;8,796;0,024;0.3345000;0,7;298;3,6;0,3;67,52;1,29;782;605,67;0,123144;2;1
