;OldVernacular;OldScientificName;Oldgenus;Oldspecies;TreeID;SampleID;RDMC;RootAverageLenght;RSL;BarkTh;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD;Filled;Operator;Rootdryweight;Rootfreshweight;RootsArea;RSA;field_name;genus;species;MeanDBH;N;Roots_length;meanWD;sdWD;levelWD;nInd;family,,,,,,,,,,,,,,,,,,
38;Bete;Mansonia altissima;Mansonia;altissima;A;3;452,1477016;0,827;0,010258732;0,7;1,9;0,42;23541;3,2;1850;578,13;12,72486486;2;2;34;0;Marco;60;0,1327;496;8,266666667;bete;Mansonia;altissima;188,8314711;1074;0,6155239;0,564458333;0,070823262;species;24;Malvaceae,,,
39;Bete;Mansonia altissima;Mansonia;altissima;B;1;471,6981132;2,169;0,016156637;1,26;4;0,42;40070;4,7;3030;644,68;13,22442244;2;2;35,9;0;Marco;70;0,1484;733,543;10,47918571;bete;Mansonia;altissima;188,8314711;1074;1,1309646;0,564458333;0,070823262;species;24;Malvaceae,,
40;Bete;Mansonia altissima;Mansonia;altissima;B;2;451,9774011;3,131;0,007882895;1,2;1,8;0,4;16648;2,8;1430;510,71;11,64195804;2;2;38,6;0;Marco;120;0,2655;850,822;7,090183333;bete;Mansonia;altissima;188,8314711;1074;0,94594735;0,564458333;0,070823262;species;24;Malvaceae,
41;Bete;Mansonia altissima;Mansonia;altissima;B;3;537,6344086;1,812;0,015931353;1,28;4,3;0,5;26235;3,11;1790;575,56;14,65642458;2;2;36,5;0;Marco;20;0,0372;191,184;9,5592;bete;Mansonia;altissima;188,8314711;1074;0,31862706;0,564458333;0,070823262;species;24;Malvaceae,
42;Bete;Mansonia altissima;Mansonia;altissima;C;1;406,0324826;5,942;0,011308582;1,52;2,7;0,42;36489;3,92;2490;635,2;14,65421687;2;2;30,2;0;Marco;140;0,3448;1323,214;9,451528571;bete;Mansonia;altissima;188,8314711;1074;1,5832015;0,564458333;0,070823262;species;24;Malvaceae,
43;Bete;Mansonia altissima;Mansonia;altissima;C;2;551,4705882;2,331;0,024292312;1,37;5,5;0,4;52845;4,5;2890;642,22;18,28546713;2;2;28,9;0;Marco;15;0,0272;194,721;12,9814;bete;Mansonia;altissima;188,8314711;1074;0,36438468;0,564458333;0,070823262;species;24;Malvaceae,
44;Bete;Mansonia altissima;Mansonia;altissima;C;3;632,183908;4,769;0,019562839;1,55;4;0,38;48658;4,3;3050;709,3;15,95344262;2;2;31,5;0;Marco;22;0,0348;247,967;11,27122727;bete;Mansonia;altissima;188,8314711;1074;0,43038246;0,564458333;0,070823262;species;24;Malvaceae,,
45;Bete;Mansonia altissima;Mansonia;altissima;A;1;381,443299;4,409;0,005720668;1,55;1,6;0,44;24255;2,7;1730;640,74;14,02023121;2;2;33,4;0;Marco;370;0,97;2136,118;5,773291892;bete;Mansonia;altissima;188,8314711;1074;2,1166472;0,564458333;0,070823262;species;24;Malvaceae,
46;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;A;1;210,5263158;3,203;0,015042741;1,14;1,6;0,42;4093;1,05;346;330,78;11,82947977;3;1;32,1;0;Marco;80;0,38;1043,997;13,0499625;bi;Eribroma;oblongum;307,3430493;446;1,2034193;0,638454545;0,070823262;species;11;Malvaceae,
47;Bi ou Eyong;Eribroma obloga;Eribroma;obloga;A;2;192,3076923;1,861;0,012423475;1,24;3,7;0,42;7128;1,56;536,7;343,28;13,28116266;3;1;51,7;0;Marco;50;0,26;602,179;12,04358;bi;Eribroma;oblongum;307,3430493;446;0,62117374;0,638454545;0,070823262;species;11;Malvaceae
